Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Female 0 — 4,Female 5 — 11,Female 12 — 17,Female 5 — 17,Female 18 — 59,Female 60,f_other,Female total,Male 0 — 4,Male 5 — 11,Male 12 — 17,Male 5 — 17,Male 18 — 59,Male 60,Male total,m_other,Total
2010,Syrian Arab Rep.,SYR,Egypt,EGY,0,0,0,,0,0,,0,0,0,0,,8,0,8,,8
2010,Syrian Arab Rep.,SYR,Belgium,BEL,0,0,0,,0,0,,61,0,0,0,,0,0,168,,229
2010,Syrian Arab Rep.,SYR,Brazil,BRA,0,0,0,,0,0,,0,0,0,0,,5,0,5,,5
2010,Syrian Arab Rep.,SYR,Bulgaria,BGR,0,0,0,,0,0,,9,0,0,0,,0,0,43,,52
2010,Syrian Arab Rep.,SYR,Canada,CAN,6,0,0,,52,13,,78,5,0,0,,120,11,143,,221
2010,Syrian Arab Rep.,SYR,Czechia,CZE,0,0,0,,0,0,,8,0,0,0,,0,0,28,,36
2010,Syrian Arab Rep.,SYR,Ecuador,ECU,0,0,0,,9,0,,9,0,0,0,,0,0,0,,9
2010,Syrian Arab Rep.,SYR,France,FRA,0,0,0,,0,0,,72,0,0,0,,0,0,208,,280
2010,Syrian Arab Rep.,SYR,Germany,DEU,349,0,0,,3572,336,,5765,383,0,0,,5078,307,7443,,13208
2010,Syrian Arab Rep.,SYR,Croatia,HRV,0,0,0,,5,0,,5,0,0,0,,0,0,0,,5
2010,Syrian Arab Rep.,SYR,Iraq,IRQ,103,10,10,,180,21,,532,133,10,10,,272,35,691,,1223
2010,Syrian Arab Rep.,SYR,Italy,ITA,0,0,0,,0,0,,11,0,0,0,,0,0,18,,29
2010,Syrian Arab Rep.,SYR,Jordan,JOR,26,10,15,,91,0,,205,33,5,10,,152,12,278,,483
2010,Syrian Arab Rep.,SYR,Kyrgyzstan,KGZ,0,0,0,,0,0,,0,0,0,0,,23,0,23,,23
2010,Syrian Arab Rep.,SYR,Kuwait,KWT,0,0,5,,13,0,,18,0,0,0,,0,0,0,,18
2010,Syrian Arab Rep.,SYR,Lebanon,LBN,10,0,0,,40,0,,61,10,5,0,,110,0,143,,204
2010,Syrian Arab Rep.,SYR,"China, Macao SAR",MAC,0,0,0,,5,0,,5,0,0,0,,0,0,0,,5
2010,Syrian Arab Rep.,SYR,Rep. of Moldova,MDA,0,0,0,,0,0,,0,0,0,0,,15,0,15,,15
2010,Syrian Arab Rep.,SYR,Malaysia,MYS,0,0,0,,0,0,,0,0,0,0,,5,0,5,,5
2010,Syrian Arab Rep.,SYR,Netherlands,NLD,0,0,0,,0,0,,39,0,0,0,,0,0,94,,133
2010,Syrian Arab Rep.,SYR,Oman,OMN,0,0,0,,7,0,,7,0,0,0,,0,0,0,,7
2010,Syrian Arab Rep.,SYR,Qatar,QAT,0,0,0,,8,0,,8,0,0,0,,0,0,0,,8
2010,Syrian Arab Rep.,SYR,Saudi Arabia,SAU,0,0,0,,9,0,,14,0,0,0,,5,0,5,,19
2010,Syrian Arab Rep.,SYR,Serbia and Kosovo: S/RES/1244 (1999),SRB,0,0,0,,0,0,,0,0,0,0,,16,0,16,,16
2010,Syrian Arab Rep.,SYR,Spain,ESP,0,0,0,,0,0,,0,0,0,0,,0,0,12,,12
2010,Syrian Arab Rep.,SYR,Slovakia,SVK,0,0,0,,0,0,,0,0,0,0,,5,0,5,,5
2010,Syrian Arab Rep.,SYR,Switzerland,CHE,78,0,0,,247,0,,553,83,0,0,,574,5,1000,,1553
2010,Syrian Arab Rep.,SYR,Tunisia,TUN,0,0,0,,0,0,,0,0,0,0,,5,0,5,,5
2010,Syrian Arab Rep.,SYR,Turkey,TUR,5,0,0,,11,0,,16,0,0,0,,58,0,58,,74
2010,Syrian Arab Rep.,SYR,United Arab Emirates,ARE,0,0,0,,6,0,,6,5,0,0,,25,0,38,,44
