Index,Year,Code,Country,Total,Female total,Male total
0,2010,AFG,Afghanistan,1196620,588189,608431
1,2010,ALB,Albania,94,27,67
2,2010,ARM,Armenia,3318,1705,1613
3,2010,AZE,Azerbaijan,594769,302861,291908
4,2010,BEL,Belgium,18582,7784,10798
5,2010,BGR,Bulgaria,986,113,873
6,2010,BIH,Bosnia and Herzegovina,178236,90315,87921
7,2010,BLR,Belarus,650,267,383
8,2010,CHE,Switzerland,61718,25047,36671
9,2010,CZE,Czechia,1005,353,652
10,2010,DEU,Germany,654142,279996,374146
11,2010,DNK,Denmark,3216,1512,1704
12,2010,DZA,Algeria,433,124,309
13,2010,EGY,Egypt,109392,50302,59090
14,2010,ESP,Spain,2690,888,1802
15,2010,EST,Estonia,36,5,31
16,2010,FRA,France,160518,67431,93087
17,2010,GEO,Georgia,2504,1337,1167
18,2010,HRV,Croatia,23525,12167,11358
19,2010,IRN,Iran (Islamic Rep. of),1843,805,1038
20,2010,IRQ,Iraq,1381290,682021,699269
21,2010,ITA,Italy,4068,886,3182
22,2010,JOR,Jordan,453052,220707,232345
23,2010,KWT,Kuwait,1759,745,1014
24,2010,LBN,Lebanon,9460,3343,6117
25,2010,LBY,Libya,11107,4511,6596
26,2010,LVA,Latvia,102,20,82
27,2010,MAR,Morocco,1069,318,751
28,2010,MDA,Rep. of Moldova,2237,1276,961
29,2010,MKD,North Macedonia,3056,1587,1469
30,2010,MNE,Montenegro,16366,8394,7972
31,2010,NLD,Netherlands,13023,4511,8512
32,2010,ROU,Romania,385,43,342
33,2010,RUS,Russian Federation,394,53,341
34,2010,SAU,Saudi Arabia,657,275,382
35,2010,SRB,Serbia and Kosovo: S/RES/1244 (1999),310742,157182,153560
36,2010,SVK,Slovakia,158,12,146
37,2010,SYR,Syrian Arab Rep.,1007907,474431,533476
38,2010,TUN,Tunisia,104,44,60
39,2010,TUR,Turkey,16715,6957,9758
40,2010,UKR,Ukraine,5365,1359,4006
41,2011,AFG,Afghanistan,1401777,694772,707005
42,2011,ALB,Albania,105,42,63
43,2011,ARM,Armenia,2941,1490,1451
44,2011,AZE,Azerbaijan,600980,306033,294947
45,2011,BEL,Belgium,22346,9459,12887
46,2011,BGR,Bulgaria,883,97,786
47,2011,BIH,Bosnia and Herzegovina,128536,64017,64519
48,2011,BLR,Belarus,639,256,383
49,2011,CHE,Switzerland,67283,26844,40439
50,2011,DEU,Germany,634343,270579,363764
51,2011,DZA,Algeria,949,269,680
52,2011,EGY,Egypt,114070,52859,61211
53,2011,EST,Estonia,97788,45865,51923
54,2011,FRA,France,168796,70864,97619
55,2011,GEO,Georgia,2064,1091,973
56,2011,HRV,Croatia,21843,11336,10507
57,2011,IRN,Iran (Islamic Rep. of),520,199,321
58,2011,IRQ,Iraq,1371756,677329,694427
59,2011,ISR,Israel,48647,13174,35473
60,2011,JOR,Jordan,455961,225304,230657
61,2011,KWT,Kuwait,1455,680,775
